dataset	sample_id	read_type	reads_path	has_truth	has_binning_gs	reads_bytes
plant_associated_long_nano	sample_15	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_15/reads/anonymous_reads.fq.gz	1	1	1817017552
plant_associated_long_nano	sample_16	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_16/reads/anonymous_reads.fq.gz	1	1	1971872870
plant_associated_long_nano	sample_17	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_17/reads/anonymous_reads.fq.gz	1	1	1832037959
plant_associated_long_nano	sample_18	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_18/reads/anonymous_reads.fq.gz	1	1	1811255989
plant_associated_long_nano	sample_19	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_19/reads/anonymous_reads.fq.gz	1	1	1691846997
plant_associated_long_nano	sample_20	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_20/reads/anonymous_reads.fq.gz	1	1	1748807897
plant_associated_long_pacbio	sample_0	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_0/reads/anonymous_reads.fq.gz	1	1	4840001736
plant_associated_long_pacbio	sample_1	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_1/reads/anonymous_reads.fq.gz	1	1	4830207575
plant_associated_long_pacbio	sample_2	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_2/reads/anonymous_reads.fq.gz	1	1	4839340231
plant_associated_long_pacbio	sample_3	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_3/reads/anonymous_reads.fq.gz	1	1	4837345741
plant_associated_long_pacbio	sample_4	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_4/reads/anonymous_reads.fq.gz	1	1	4833456386
plant_associated_long_pacbio	sample_5	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_5/reads/anonymous_reads.fq.gz	1	1	4839647436
plant_associated_long_pacbio	sample_6	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_6/reads/anonymous_reads.fq.gz	1	1	4835515643
plant_associated_long_pacbio	sample_7	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_7/reads/anonymous_reads.fq.gz	1	1	4840521947
plant_associated_long_pacbio	sample_8	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_8/reads/anonymous_reads.fq.gz	1	1	4832320154
plant_associated_long_pacbio	sample_9	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_9/reads/anonymous_reads.fq.gz	1	1	4832727785
plant_associated_long_pacbio	sample_10	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_10/reads/anonymous_reads.fq.gz	1	1	4815360486
plant_associated_long_pacbio	sample_11	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_11/reads/anonymous_reads.fq.gz	1	1	4831843056
plant_associated_long_pacbio	sample_12	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_12/reads/anonymous_reads.fq.gz	1	1	4839190506
plant_associated_long_pacbio	sample_13	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_13/reads/anonymous_reads.fq.gz	1	1	4838933339
plant_associated_long_pacbio	sample_14	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_14/reads/anonymous_reads.fq.gz	1	1	4829991706
plant_associated_long_pacbio	sample_15	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_15/reads/anonymous_reads.fq.gz	1	1	4840008407
plant_associated_long_pacbio	sample_16	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_16/reads/anonymous_reads.fq.gz	1	1	4840834089
plant_associated_long_pacbio	sample_17	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_17/reads/anonymous_reads.fq.gz	1	1	4840365524
plant_associated_long_pacbio	sample_18	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_18/reads/anonymous_reads.fq.gz	1	1	4835943826
plant_associated_long_pacbio	sample_19	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_19/reads/anonymous_reads.fq.gz	1	1	4829988065
plant_associated_long_pacbio	sample_20	long	/scratch/phyberos/cami/work/plant_long_read_pacbio/simulation_pbsim/2019.11.04_11.02.31_sample_20/reads/anonymous_reads.fq.gz	1	1	4837226740
strain	sample_0	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_0/reads/anonymous_reads.fq.gz	1	1	2068165591
strain	sample_1	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_1/reads/anonymous_reads.fq.gz	1	1	2068273393
strain	sample_2	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_2/reads/anonymous_reads.fq.gz	1	1	2067687214
strain	sample_3	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_3/reads/anonymous_reads.fq.gz	1	1	2067700430
strain	sample_4	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_4/reads/anonymous_reads.fq.gz	1	1	2067645367
strain	sample_5	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_5/reads/anonymous_reads.fq.gz	1	1	2066958172
strain	sample_6	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_6/reads/anonymous_reads.fq.gz	1	1	2067012034
strain	sample_7	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_7/reads/anonymous_reads.fq.gz	1	1	2068088695
strain	sample_8	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_8/reads/anonymous_reads.fq.gz	1	1	2068380049
strain	sample_9	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_9/reads/anonymous_reads.fq.gz	1	1	2068047125
strain	sample_10	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_10/reads/anonymous_reads.fq.gz	1	1	2068242392
strain	sample_11	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_11/reads/anonymous_reads.fq.gz	1	1	2068331212
strain	sample_12	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_12/reads/anonymous_reads.fq.gz	1	1	2067391069
strain	sample_13	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_13/reads/anonymous_reads.fq.gz	1	1	2068719768
strain	sample_14	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_14/reads/anonymous_reads.fq.gz	1	1	2068253533
strain	sample_15	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_15/reads/anonymous_reads.fq.gz	1	1	2067875243
strain	sample_16	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_16/reads/anonymous_reads.fq.gz	1	1	2068673092
strain	sample_17	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_17/reads/anonymous_reads.fq.gz	1	1	2069083743
strain	sample_18	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_18/reads/anonymous_reads.fq.gz	1	1	2069191693
strain	sample_19	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_19/reads/anonymous_reads.fq.gz	1	1	2069016965
strain	sample_20	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_20/reads/anonymous_reads.fq.gz	1	1	2067354023
strain	sample_21	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_21/reads/anonymous_reads.fq.gz	1	1	2069238274
strain	sample_22	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_22/reads/anonymous_reads.fq.gz	1	1	2069516605
strain	sample_23	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_23/reads/anonymous_reads.fq.gz	1	1	2067867915
strain	sample_24	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_24/reads/anonymous_reads.fq.gz	1	1	2068887329
strain	sample_25	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_25/reads/anonymous_reads.fq.gz	1	1	2068432079
strain	sample_26	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_26/reads/anonymous_reads.fq.gz	1	1	2068093470
strain	sample_27	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_27/reads/anonymous_reads.fq.gz	1	1	2068711124
strain	sample_28	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_28/reads/anonymous_reads.fq.gz	1	1	2069045030
strain	sample_29	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_29/reads/anonymous_reads.fq.gz	1	1	2066195423
strain	sample_30	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_30/reads/anonymous_reads.fq.gz	1	1	2068332042
strain	sample_31	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_31/reads/anonymous_reads.fq.gz	1	1	2067525403
strain	sample_32	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_32/reads/anonymous_reads.fq.gz	1	1	2068576963
strain	sample_33	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_33/reads/anonymous_reads.fq.gz	1	1	2068348170
strain	sample_34	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_34/reads/anonymous_reads.fq.gz	1	1	2069315368
strain	sample_35	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_35/reads/anonymous_reads.fq.gz	1	1	2068041500
strain	sample_36	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_36/reads/anonymous_reads.fq.gz	1	1	2067929746
strain	sample_37	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_37/reads/anonymous_reads.fq.gz	1	1	2068001510
strain	sample_38	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_38/reads/anonymous_reads.fq.gz	1	1	2067748490
strain	sample_39	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_39/reads/anonymous_reads.fq.gz	1	1	2068339680
strain	sample_40	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_40/reads/anonymous_reads.fq.gz	1	1	2068904030
strain	sample_41	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_41/reads/anonymous_reads.fq.gz	1	1	2068878087
strain	sample_42	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_42/reads/anonymous_reads.fq.gz	1	1	2068059119
strain	sample_43	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_43/reads/anonymous_reads.fq.gz	1	1	2066765832
strain	sample_44	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_44/reads/anonymous_reads.fq.gz	1	1	2069265463
strain	sample_45	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_45/reads/anonymous_reads.fq.gz	1	1	2069323726
strain	sample_46	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_46/reads/anonymous_reads.fq.gz	1	1	2069008335
strain	sample_47	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_47/reads/anonymous_reads.fq.gz	1	1	2067443046
strain	sample_48	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_48/reads/anonymous_reads.fq.gz	1	1	2067480176
strain	sample_49	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_49/reads/anonymous_reads.fq.gz	1	1	2068674821
strain	sample_50	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_50/reads/anonymous_reads.fq.gz	1	1	2069033778
strain	sample_51	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_51/reads/anonymous_reads.fq.gz	1	1	2067963282
strain	sample_52	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_52/reads/anonymous_reads.fq.gz	1	1	2067616423
strain	sample_53	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_53/reads/anonymous_reads.fq.gz	1	1	2068500940
strain	sample_54	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_54/reads/anonymous_reads.fq.gz	1	1	2068830516
strain	sample_55	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_55/reads/anonymous_reads.fq.gz	1	1	2068470484
strain	sample_56	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_56/reads/anonymous_reads.fq.gz	1	1	2068350356
strain	sample_57	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_57/reads/anonymous_reads.fq.gz	1	1	2067592026
strain	sample_58	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_58/reads/anonymous_reads.fq.gz	1	1	2067398926
strain	sample_59	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_59/reads/anonymous_reads.fq.gz	1	1	2068824304
strain	sample_60	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_60/reads/anonymous_reads.fq.gz	1	1	2068643915
strain	sample_61	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_61/reads/anonymous_reads.fq.gz	1	1	2069641013
strain	sample_62	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_62/reads/anonymous_reads.fq.gz	1	1	2068742569
strain	sample_63	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_63/reads/anonymous_reads.fq.gz	1	1	2069225918
strain	sample_64	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_64/reads/anonymous_reads.fq.gz	1	1	2063308211
strain	sample_65	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_65/reads/anonymous_reads.fq.gz	1	1	2066876456
strain	sample_66	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_66/reads/anonymous_reads.fq.gz	1	1	2066307807
strain	sample_67	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_67/reads/anonymous_reads.fq.gz	1	1	2068797848
strain	sample_68	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_68/reads/anonymous_reads.fq.gz	1	1	2067438510
strain	sample_69	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_69/reads/anonymous_reads.fq.gz	1	1	2068417865
strain	sample_70	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_70/reads/anonymous_reads.fq.gz	1	1	2069159905
strain	sample_71	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_71/reads/anonymous_reads.fq.gz	1	1	2067091767
strain	sample_72	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_72/reads/anonymous_reads.fq.gz	1	1	2067216430
strain	sample_73	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_73/reads/anonymous_reads.fq.gz	1	1	2068291149
strain	sample_74	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_74/reads/anonymous_reads.fq.gz	1	1	2069213985
strain	sample_75	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_75/reads/anonymous_reads.fq.gz	1	1	2068039406
strain	sample_76	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_76/reads/anonymous_reads.fq.gz	1	1	2068310150
strain	sample_77	short	/scratch/phyberos/cami/work/strain_short_read/short_read/2018.09.07_11.43.52_sample_77/reads/anonymous_reads.fq.gz	1	1	2069091947
